Subject	SampleID	FileInput	Sequencing	SequencingTwoState	SelectionTavanasa	SelectionVals	TavanasaAndValsAll	TavanasaAndValsAPS	Larvae	APSVals	APSTavanasa	SelectionMilt	SelectionWater	SelectionSkins	SelectionBodyparts	SampleIDCAN	SeqConc	SeqPlateRow	SeqPlateColumn	NewIDs	SampleID2	Tissue	concentration	Treatment	TreatmentOriginal	ValsTissues	96well	Population	Extraction	FishID2	Tissue2	Original	Extraction	Number	Origin	Family
LW139-52	LW139	LW139-52_S115_L001.assembled_filtered.nonchimera.fasta	second_run	second_run	no	no	no	no	no	no	no	sperm	no	no	sperm	LW139	NA	3	6	LW139Extraction52	T126	sperm	low	Milt	Milt	NA	2	Rainbow	Extraction52	T126	sperm	Extraction52	rainbow	F54		
LW140-85	LW140	LW140-85_S117_L001.assembled_filtered.nonchimera.fasta	second_run	second_run	no	no	no	no	no	no	no	sperm	no	no	sperm	LW140	NA	4	6	LW140Extraction85	T127	sperm	low	Milt	Milt	NA	2	Rainbow	Extraction85	T127	sperm	Extraction85	rainbow	F55		
LW170-Extraction19	LW170	LW170-Extraction19_S118_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	no	no	no	no	no	no	no	no	skin	skin	LW170	MB20	2	10	LW170Extraction19	Extraction19	skin	veryLow	SkinRainbow	SkinRainbow	NA	2	Rainbow	Extraction19	T125	skin	Extraction19	rainbow	F53		
LW190-Extraction17	LW190	LW190-Extraction17_S168_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	no	no	no	no	no	no	no	no	skin	skin	LW190	MB20	6	12	LW190Extraction17	Extraction17	skin	veryLow	SkinRainbow	SkinRainbow	NA	2	Rainbow	Extraction17	T123	skin	Extraction17	rainbow	F51		
LW191-Extraction18	LW191	LW191-Extraction18_S180_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	no	no	no	no	no	no	no	no	skin	skin	LW191	MB20	7	12	LW191Extraction18	Extraction18	skin	veryLow	SkinRainbow	SkinRainbow	NA	2	Rainbow	Extraction18	T124	skin	Extraction18	rainbow	F52		
LW37-Extraction20	LW37	LW37-Extraction20_S53_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	no	no	no	no	no	no	no	no	skin	skin	LW37	2MB	5	5	LW37Extraction20	T126	skin	veryLow	SkinRainbow	SkinRainbow	NA	1	Rainbow	Extraction20	T126	skin	Extraction20	rainbow	F54		
LW40-Extraction60	LW40	LW40-Extraction60_S89_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	Tavanasa	no	yes	yes	no	no	yes	no	no	no	no	LW40	2MB	8	5	LW40Extraction60	F2	APS	low	APSbacVirkonS	APSvirkon	NA	1	Tavanasa	Extraction60	T2	APS	Extraction60	Tavanasa	F2b		
LW41-Extraction61	LW41	LW41-Extraction61_S6_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	Tavanasa	no	yes	yes	no	no	yes	no	no	no	no	LW41	2MB	1	6	LW41Extraction61	F3	APS	low	APSbacVirkonS	APSvirkon	NA	1	Tavanasa	Extraction61	T4	APS	Extraction61	Tavanasa	F4b		
LW42-Extraction62	LW42	LW42-Extraction62_S18_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	Tavanasa	no	yes	yes	no	no	yes	no	no	no	no	LW42	1MB	2	6	LW42Extraction62	F4	APS	low	APSbacVirkonS	APSvirkon	NA	1	Tavanasa	Extraction62	T6	APS	Extraction62	Tavanasa	F6b		
LW43-Extraction63	LW43	LW43-Extraction63_S30_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	Tavanasa	no	yes	yes	no	no	yes	no	no	no	no	LW43	2MB	3	6	LW43Extraction63	F5	APS	low	APSbacVirkonS	APSvirkon	NA	1	Tavanasa	Extraction63	T8	APS	Extraction63	Tavanasa	F8b		
LW44-Extraction64	LW44	LW44-Extraction64_S42_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	Tavanasa	no	yes	yes	no	no	yes	no	no	no	no	LW44	2MB	4	6	LW44Extraction64	F6	APS	low	APSbacVirkonS	APSvirkon	NA	1	Tavanasa	Extraction64	T9	APS	Extraction64	Tavanasa	F9b		
LW47-Extraction79	LW47	LW47-Extraction79_S78_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	Tavanasa	no	yes	yes	no	no	yes	no	no	no	no	LW47	2MB	7	6	LW47Extraction79	F3	APS	low	APSbacVirkonS	APSvirkon	NA	1	Tavanasa	Extraction79	T4	APS	Extraction79	Tavanasa	F4b		
LW48-Extraction80	LW48	LW48-Extraction80_S90_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	Tavanasa	no	yes	yes	no	no	yes	no	no	no	no	LW48	1MB	8	6	LW48Extraction80	F4	APS	low	APSbacVirkonS	APSvirkon	NA	1	Tavanasa	Extraction80	T6	APS	Extraction80	Tavanasa	F6b		
LW50-Extraction84	LW50	LW50-Extraction84_S19_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	Tavanasa	no	yes	yes	no	no	yes	no	no	no	no	LW50	1MB	2	7	LW50Extraction84	F6	APS	low	APSbacVirkonS	APSvirkon	NA	1	Tavanasa	Extraction84	T9	APS	Extraction84	Tavanasa	F9b		
LW51-Extraction75	LW51	LW51-Extraction75_S31_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	Tavanasa	no	yes	yes	no	no	yes	no	no	no	no	LW51	2MB	3	7	LW51Extraction75	F1	APS	low	APSbacVirkonS	APSvirkon	NA	1	Tavanasa	Extraction75	T1	APS	Extraction75	Tavanasa	F1b		
LW56-Extraction86	LW56	LW56-Extraction86_S91_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	Tavanasa	no	yes	yes	no	no	yes	no	no	no	no	LW56	2MB	8	7	LW56Extraction86	F6	APS	low	APSbacVirkonS	APSvirkon	NA	1	Tavanasa	Extraction86	T9	APS	Extraction86	Tavanasa	F9b		
LW39-59	LW39	LW39-59_S140_L001.assembled_filtered.nonchimera.fasta	second_run	second_run	Tavanasa	no	yes	yes	no	no	yes	no	no	no	no	LW39	NA	7	5	LW39Extraction59	F1	APS	low	APSbacVirkonS	APSvirkon	NA	1	Tavanasa	Extraction59	T1	APS	Extraction59	Tavanasa	F1b		
LW45-68	LW45	LW45-68_S141_L001.assembled_filtered.nonchimera.fasta	second_run	second_run	Tavanasa	no	yes	yes	no	no	yes	no	no	no	no	LW45	NA	5	6	LW45Extraction68	F1	APS	low	APSbacVirkonS	APSvirkon	NA	1	Tavanasa	Extraction68	T1	APS	Extraction68	Tavanasa	F1b		
LW46-76	LW46	LW46-76_S142_L001.assembled_filtered.nonchimera.fasta	second_run	second_run	Tavanasa	no	yes	yes	no	no	yes	no	no	no	no	LW46	NA	6	6	LW46Extraction76	F2	APS	low	APSbacVirkonS	APSvirkon	NA	1	Tavanasa	Extraction76	T2	APS	Extraction76	Tavanasa	F2b		
LW49-83	LW49	LW49-83_S143_L001.assembled_filtered.nonchimera.fasta	second_run	second_run	Tavanasa	no	yes	yes	no	no	yes	no	no	no	no	LW49	NA	1	7	LW49Extraction83	F5	APS	low	APSbacVirkonS	APSvirkon	NA	1	Tavanasa	Extraction83	T8	APS	Extraction83	Tavanasa	F8b		
LW52-77	LW52	LW52-77_S144_L001.assembled_filtered.nonchimera.fasta	second_run	second_run	Tavanasa	no	yes	yes	no	no	yes	no	no	no	no	LW52	REP	4	7	LW52Extraction77	F2	APS	low	APSbacVirkonS	APSvirkon	NA	1	Tavanasa	Extraction77	T2	APS	Extraction77	Tavanasa	F2b		
LW53-78	LW53	LW53-78_S145_L001.assembled_filtered.nonchimera.fasta	second_run	second_run	Tavanasa	no	yes	yes	no	no	yes	no	no	no	no	LW53	NA	5	7	LW53Extraction78	F3	APS	low	APSbacVirkonS	APSvirkon	NA	1	Tavanasa	Extraction78	T4	APS	Extraction78	Tavanasa	F4b		
LW54-81	LW54	LW54-81_S146_L001.assembled_filtered.nonchimera.fasta	second_run	second_run	Tavanasa	no	yes	yes	no	no	yes	no	no	no	no	LW54	REP	6	7	LW54Extraction81	F4	APS	low	APSbacVirkonS	APSvirkon	NA	1	Tavanasa	Extraction81	T6	APS	Extraction81	Tavanasa	F6b		
LW55-82	LW55	LW55-82_S147_L001.assembled_filtered.nonchimera.fasta	second_run	second_run	Tavanasa	no	yes	yes	no	no	yes	no	no	no	no	LW55	NA	7	7	LW55Extraction82	F5	APS	low	APSbacVirkonS	APSvirkon	NA	1	Tavanasa	Extraction82	T8	APS	Extraction82	Tavanasa	F8b		
LW52-Extraction77	LW52bad	LW52-Extraction77_S43_L001.assembled_filtered.nonchimera.fasta	very_bad_first_run	first_run	Tavanasa	NA	NA	NA	no	no	yes	no	no	no	no	NA	NA	NA	NA	NA	NA	NA	NA	APSbacVirkonS	APSvirkon	NA	NA	Tavanasa	NA	T2	NA	NA	NA	NA		
LW54-Extraction81	LW54bad	LW54-Extraction81_S67_L001.assembled_filtered.nonchimera.fasta	very_bad_first_run	first_run	Tavanasa	NA	NA	NA	no	no	yes	no	no	no	no	NA	NA	NA	NA	NA	NA	NA	NA	APSbacVirkonS	APSvirkon	NA	NA	Tavanasa	NA	T6	NA	NA	NA	NA		
LW85-Extraction95	LW85bad	LW85-Extraction95_S59_L001.assembled_filtered.nonchimera.fasta	very_bad_first_run	first_run	Tavanasa	NA	NA	NA	no	no	no	no	water	no	no	NA	NA	NA	NA	NA	NA	NA	NA	APSbacVirkonS	APSvirkon	NA	NA	Tavanasa	NA	T4	NA	NA	NA	NA		
LW87-Extraction97	LW87bad	LW87-Extraction97_S83_L001.assembled_filtered.nonchimera.fasta	very_bad_first_run	first_run	Tavanasa	NA	NA	NA	no	no	no	no	water	no	no	NA	NA	NA	NA	NA	NA	NA	NA	APSbacVirkonS	APSvirkon	NA	NA	Tavanasa	NA	T8	NA	NA	NA	NA		
LW21-Extraction53	LW21	LW21-Extraction53_S51_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	Tavanasa	no	yes	yes	no	no	yes	no	no	no	no	LW21	2MB	5	3	LW21Extraction53	F1	APS	low	APSctrl	APSctrl	NA	1	Tavanasa	Extraction53	T1	APS	Extraction53	Tavanasa	F1		
LW22-Extraction54	LW22	LW22-Extraction54_S63_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	Tavanasa	no	yes	yes	no	no	yes	no	no	no	no	LW22	MB10to20	6	3	LW22Extraction54	F2	APS	low	APSctrl	APSctrl	NA	1	Tavanasa	Extraction54	T2	APS	Extraction54	Tavanasa	F2		
LW23-Extraction55	LW23	LW23-Extraction55_S75_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	Tavanasa	no	yes	yes	no	no	yes	no	no	no	no	LW23	2MB	7	3	LW23Extraction55	F3	APS	low	APSctrl	APSctrl	NA	1	Tavanasa	Extraction55	T4	APS	Extraction55	Tavanasa	F4		
LW24-Extraction56	LW24	LW24-Extraction56_S87_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	Tavanasa	no	yes	yes	no	no	yes	no	no	no	no	LW24	MB10to20	8	3	LW24Extraction56	F4	APS	low	APSctrl	APSctrl	NA	1	Tavanasa	Extraction56	T6	APS	Extraction56	Tavanasa	F6		
LW25-Extraction57	LW25	LW25-Extraction57_S4_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	Tavanasa	no	yes	yes	no	no	yes	no	no	no	no	LW25	MB10to20	1	4	LW25Extraction57	F5	APS	low	APSctrl	APSctrl	NA	1	Tavanasa	Extraction57	T8	APS	Extraction57	Tavanasa	F8		
LW26-Extraction58	LW26	LW26-Extraction58_S16_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	Tavanasa	no	yes	yes	no	no	yes	no	no	no	no	LW26	MB10to20	2	4	LW26Extraction58	F6	APS	low	APSctrl	APSctrl	NA	1	Tavanasa	Extraction58	T9	APS	Extraction58	Tavanasa	F9		
LW28-Extraction65	LW28	LW28-Extraction65_S40_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	Tavanasa	no	yes	yes	no	no	yes	no	no	no	no	LW28	2MB	4	4	LW28Extraction65	F2	APS	low	APSctrl	APSctrl	NA	1	Tavanasa	Extraction65	T2	APS	Extraction71	Tavanasa	F2		
LW29-Extraction66	LW29	LW29-Extraction66_S52_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	Tavanasa	no	yes	yes	no	no	yes	no	no	no	no	LW29	MB10to20	5	4	LW29Extraction66	F3	APS	low	APSctrl	APSctrl	NA	1	Tavanasa	Extraction66	T4	APS	Extraction70	Tavanasa	F4		
LW30-Extraction67	LW30	LW30-Extraction67_S64_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	Tavanasa	no	yes	yes	no	no	yes	no	no	no	no	LW30	MB20	6	4	LW30Extraction67	F4	APS	low	APSctrl	APSctrl	NA	1	Tavanasa	Extraction67	T6	APS	Extraction72	Tavanasa	F6		
LW31-Extraction73	LW31	LW31-Extraction73_S76_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	Tavanasa	no	yes	yes	no	no	yes	no	no	no	no	LW31	1MB	7	4	LW31Extraction73	F5	APS	low	APSctrl	APSctrl	NA	1	Tavanasa	Extraction73	T8	APS	Extraction73	Tavanasa	F8		
LW32-Extraction74	LW32	LW32-Extraction74_S88_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	Tavanasa	no	yes	yes	no	no	yes	no	no	no	no	LW32	2MB	8	4	LW32Extraction74	F6	APS	low	APSctrl	APSctrl	NA	1	Tavanasa	Extraction74	T9	APS	Extraction74	Tavanasa	F9		
LW34-Extraction71	LW34	LW34-Extraction71_S17_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	Tavanasa	no	yes	yes	no	no	yes	no	no	no	no	LW34	2MB	2	5	LW34Extraction71	F2	APS	low	APSctrl	APSctrl	NA	1	Tavanasa	Extraction71	T2	APS	Extraction71	Tavanasa	F2		
LW35-Extraction70	LW35	LW35-Extraction70_S29_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	Tavanasa	no	yes	yes	no	no	yes	no	no	no	no	LW35	2MB	3	5	LW35Extraction70	F3	APS	low	APSctrl	APSctrl	NA	1	Tavanasa	Extraction70	T4	APS	Extraction70	Tavanasa	F4		
LW36-Extraction72	LW36	LW36-Extraction72_S41_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	Tavanasa	no	yes	yes	no	no	yes	no	no	no	no	LW36	2MB	4	5	LW36Extraction72	F4	APS	low	APSctrl	APSctrl	NA	1	Tavanasa	Extraction72	T6	APS	Extraction72	Tavanasa	F6		
LW27-69	LW27	LW27-69_S138_L001.assembled_filtered.nonchimera.fasta	second_run	second_run	Tavanasa	no	yes	yes	no	no	yes	no	no	no	no	LW27	NA	3	4	LW27Extraction69	F1	APS	low	APSctrl	APSctrl	NA	1	Tavanasa	Extraction69	T1	APS	Extraction69	Tavanasa	F1		
LW78-Extraction88	LW78bad	LW78-Extraction88_S70_L001.assembled_filtered.nonchimera.fasta	very_bad_first_run	first_run	Tavanasa	NA	NA	NA	no	no	no	no	water	no	no	NA	NA	NA	NA	NA	NA	NA	NA	CTRL	CTRL	NA	NA	Tavanasa	NA	T2	NA	NA	NA	NA		
LW73-Extraction100	LW73	LW73-Extraction100_S10_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	Tavanasa	no	yes	no	no	no	no	no	no	no	feces	LW73	MB20	1	10	LW73Extraction100	T1	feces	low	feces	feces	NA	1	Tavanasa	Extraction100	T1	feces	Extraction100	Tavanasa	NA		
LW74-Extraction113	LW74	LW74-Extraction113_S22_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	Tavanasa	no	yes	no	no	no	no	no	no	no	feces	LW74	2MB	2	10	LW74Extraction113	T2	feces	low	feces	feces	NA	1	Tavanasa	Extraction113	T2	feces	Extraction113	Tavanasa	NA		
LW75-Extraction114	LW75	LW75-Extraction114_S34_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	Tavanasa	no	yes	no	no	no	no	no	no	no	feces	LW75	MB20	3	10	LW75Extraction114	T4	feces	low	feces	feces	NA	1	Tavanasa	Extraction114	T4	feces	Extraction114	Tavanasa	NA		
LW76-Extraction115	LW76	LW76-Extraction115_S46_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	Tavanasa	no	yes	no	no	no	no	no	no	no	feces	LW76	MB20	4	10	LW76Extraction115	T6	feces	low	feces	feces	NA	1	Tavanasa	Extraction115	T6	feces	Extraction115	Tavanasa	NA		
LW57-Extraction156	LW57	LW57-Extraction156_S8_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	Tavanasa	no	yes	no	yes	no	no	no	no	no	no	LW57	MB10to20	1	8	LW57Extraction156	F1	larvae	low	larvaeCTRL	larvaeCTRL	NA	1	Tavanasa	Extraction156	T1	larva	Extraction156	Tavanasa	F1		
LW58-Extraction157	LW58	LW58-Extraction157_S20_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	Tavanasa	no	yes	no	yes	no	no	no	no	no	no	LW58	MB10to20	2	8	LW58Extraction157	F2	larvae	low	larvaeCTRL	larvaeCTRL	NA	1	Tavanasa	Extraction157	T2	larva	Extraction157	Tavanasa	F2		
LW59-Extraction158	LW59	LW59-Extraction158_S32_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	Tavanasa	no	yes	no	yes	no	no	no	no	no	no	LW59	MB10to20	3	8	LW59Extraction158	F3	larvae	low	larvaeCTRL	larvaeCTRL	NA	1	Tavanasa	Extraction158	T4	larva	Extraction158	Tavanasa	F4		
LW60-Extraction159	LW60	LW60-Extraction159_S44_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	Tavanasa	no	yes	no	yes	no	no	no	no	no	no	LW60	MB10to20	4	8	LW60Extraction159	F4	larvae	low	larvaeCTRL	larvaeCTRL	NA	1	Tavanasa	Extraction159	T6	larva	Extraction159	Tavanasa	F6		
LW61-Extraction160	LW61	LW61-Extraction160_S56_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	Tavanasa	no	yes	no	yes	no	no	no	no	no	no	LW61	MB10to20	5	8	LW61Extraction160	F5	larvae	low	larvaeCTRL	larvaeCTRL	NA	1	Tavanasa	Extraction160	T8	larva	Extraction160	Tavanasa	F8		
LW62-Extraction161	LW62	LW62-Extraction161_S68_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	Tavanasa	no	yes	no	yes	no	no	no	no	no	no	LW62	MB10to20	6	8	LW62Extraction161	F6	larvae	low	larvaeCTRL	larvaeCTRL	NA	1	Tavanasa	Extraction161	T9	larva	Extraction161	Tavanasa	F9		
LW63-Extraction162	LW63	LW63-Extraction162_S80_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	Tavanasa	no	yes	no	yes	no	no	no	no	no	no	LW63	MB10to20	7	8	LW63Extraction162	F1	larvae	low	larvaeVirkon	larvaeVirkon	NA	1	Tavanasa	Extraction162	T1	larva	Extraction162	Tavanasa	F1		
LW64-Extraction163	LW64	LW64-Extraction163_S92_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	Tavanasa	no	yes	no	yes	no	no	no	no	no	no	LW64	MB10to20	8	8	LW64Extraction163	F2	larvae	low	larvaeVirkon	larvaeVirkon	NA	1	Tavanasa	Extraction163	T2	larva	Extraction163	Tavanasa	F2		
